codigo;ideps;eps;nomcategorias;nomservicio;nomespecifique;nomindicador;numerador;denominador;resultado;nomunidad;nomfuente;linkfuente
4.3.10.1;ESS024;COOSALUD EPS;Tiempos de espera;Consultas;Promoción y prevención de la enfermedad (p y p);Usuarios que consideran oportuno el tiempo de espera para atención de programas de promoción y prevención.;1349;5339;25;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.3.3.1;ESS062;ASMET SALUD;Tiempos de espera;Consultas;Ginecobstetricia;Espera para la asignación de citas de consulta de ginecobstetricia.;16500;2977;5;Días;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
4.7.1.1;ESS062;ASMET SALUD;Tiempos de espera;Medicamentos;Entrega de medicamentos;Órdenes de medicamentos POS que se entregaron de forma completa en la primera solicitud.;46353;51441;90;%;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
3.4.1.1;EPS023;CRUZ BLANCA EPS;Satisfacción con los servicios;Imágenes diagnosticas;Imágenes diagnosticas;Usuarios que califican como bueno el servicio de imágenes diagnosticas.;31650;43997;71;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.3.2.1;CCF018;CAFAM;Tiempos de espera;Consultas;Cirujano general;Espera para la asignación de citas de consulta de cirugía general.;174994;18181;9;Días;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
3.3.2.1;EPSI06;PIJAOS SALUD EPSI;Satisfacción con los servicios;Experiencia global;Mostrar resultado;Usuarios satisfechos con el servicio prestado por su EPS.;11942;13598;87;%;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
4.8.1.1;CCF055;CAJACOPI;Tiempos de espera;Terapias;Atención de terapias;Usuarios que consideran oportuno el tiempo de espera para la atención de terapias.;1746;2378;73;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.4.1.1;EPS002;SALUD TOTAL EPS;Tiempos de espera;Hospitalización;Atención de hospitalización;Usuarios que consideran oportuno el tiempo de espera para la atención de hospitalización.;20578;34130;60;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.8.1.1;ESS118;EMSSANAR EPS;Tiempos de espera;Terapias;Atención de terapias;Usuarios que consideran oportuno el tiempo de espera para la atención de terapias.;3198;12576;25;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.1.2.1;ESS062;ASMET SALUD;Tiempos de espera;Autorizaciones;Traslados;Tiempo en la autorización para referencias (traslado de una IPS a otra).;78350280;33739;2.322;Minutos;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
4.7.1.2;EPS001;ALIANSALUD EPS;Tiempos de espera;Medicamentos;Entrega de medicamentos;Usuarios que consideran oportuno el tiempo de espera para la entrega de medicamentos.;58336;111253;52;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
5.1.1.1;CCF027;COMFAMILIAR NARIÑO;Trato de personal administrativo;Mostrar resultado;Mostrar resultado;Usuarios que calificaron positivamente el trato por el personal administrativo de su EPS.;102825;108987;94;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
3.4.1.1;CCF055;CAJACOPI;Satisfacción con los servicios;Imágenes diagnosticas;Imágenes diagnosticas;Usuarios que califican como bueno el servicio de imágenes diagnosticas.;16896;16918;99;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.3.1.1;ESS024;COOSALUD EPS;Tiempos de espera;Consultas;Atención prioritaria;Usuarios que consideran oportuno el tiempo de espera para la atención de citas prioritarias.;18527;25110;73;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.3.5.1;ESS076;AMBUQ EPSS;Tiempos de espera;Consultas;Medicina general;Usuarios que consideran oportuno el tiempo de espera para la atención de medicina general.;154380;259700;59;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
6.1.1.1;EPS018;SOS EPS;Tutelas;Mostrar resultado;Mostrar resultado;Tutelas por no prestación de servicios POS o POSS (tasa por 10.000 afiliados).;1001;875424;11;Tasa X 10mil afiliados;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
3.3.1.1;CCF053;COMFACUNDI;Satisfacción con los servicios;Experiencia global;Experiencia global con los servicios de salud;Usuarios que califican como buena su experiencia global del servicio de salud recibidos de su EPS.;234705;303248;77;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
3.4.1.1;EPS008;COMPENSAR EPS;Satisfacción con los servicios;Imágenes diagnosticas;Imágenes diagnosticas;Usuarios que califican como bueno el servicio de imágenes diagnosticas.;67081;74675;89;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
3.3.3.1;CCF023;COMFAMILIARGUAJIRA;Satisfacción con los servicios;Experiencia global;Recomendación a familiares;Usuarios que recomendarían a sus familiares y amigos afiliarse a su EPS.;35338;39581;89;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
6.1.1.1;EPS033;SALUDVIDA EPS;Tutelas;Mostrar resultado;Mostrar resultado;Tutelas por no prestación de servicios POS o POSS (tasa por 10.000 afiliados).;1368;93752;145;Tasa X 10mil afiliados;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
4.3.4.1;EPSS34;CAPITAL SALUD EPS;Tiempos de espera;Consultas;Medicina especializada;Usuarios que consideran oportuno el tiempo de espera para la atención de medicina especializada.;33063;219993;15;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
6.1.1.1;ESS002;EMDISALUD;Tutelas;Mostrar resultado;Mostrar resultado;Tutelas por no prestación de servicios POS o POSS (tasa por 10.000 afiliados).;213;499182;4;Tasa X 10mil afiliados;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
4.3.10.1;ESS118;EMSSANAR EPS;Tiempos de espera;Consultas;Promoción y prevención de la enfermedad (p y p);Usuarios que consideran oportuno el tiempo de espera para atención de programas de promoción y prevención.;40885;73430;55;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.2.1.1;ESS091;ECOOPSOS EPS;Tiempos de espera;Cirugías;Cirugía programada;Tiempo de espera en  la realización de cirugía programada.;366491;45315;8;Días;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
4.3.8.2;EPSI02;MANEXKA;Tiempos de espera;Consultas;Odontología;Usuarios que consideran oportuno el tiempo de espera para la atención de odontología.;3538;4265;82;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.5.3.1;ESS076;AMBUQ EPSS;Tiempos de espera;Imágenes diagnosticas;Tomografías;Tiempo de espera para servicios de imagenología y diagnostico especializado tac.;188092;72982;2;Días;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
3.2.1.1;EPS002;SALUD TOTAL EPS;Satisfacción con los servicios;Consultas;Medicina especializada;Usuarios que califican como bueno el servicio de medicina especializada suministrado por su EPS.;153131;215736;70;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.2.1.2;EPSI04;ANAS WAYUU EPSI;Tiempos de espera;Cirugías;Cirugía programada;Usuarios que consideran oportuno el tiempo de espera para la atención de cirugía.;47;177;26;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.3.10.1;CCF053;COMFACUNDI;Tiempos de espera;Consultas;Promoción y prevención de la enfermedad (p y p);Usuarios que consideran oportuno el tiempo de espera para atención de programas de promoción y prevención.;1880;7616;24;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
3.3.2.1;CCF009;COMFABOY;Satisfacción con los servicios;Experiencia global;Mostrar resultado;Usuarios satisfechos con el servicio prestado por su EPS.;44511;46168;96;%;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
5.1.1.1;EPSI03;AIC EPSI;Trato de personal administrativo;Mostrar resultado;Mostrar resultado;Usuarios que calificaron positivamente el trato por el personal administrativo de su EPS.;331521;392551;84;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
3.2.2.1;EPS010;EPS SURA;Satisfacción con los servicios;Consultas;Medicina general;Usuarios que califican como bueno el servicio de medicina general suministrado por su EPS.;328944;396789;82;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.3.2.1;EPS022;CONVIDA;Tiempos de espera;Consultas;Cirujano general;Espera para la asignación de citas de consulta de cirugía general.;165268;26521;6;Días;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
3.2.1.1;CCF101;COLSUBSIDIO;Satisfacción con los servicios;Consultas;Medicina especializada;Usuarios que califican como bueno el servicio de medicina especializada suministrado por su EPS.;10538;15031;70;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.3.8.2;EPS018;SOS EPS;Tiempos de espera;Consultas;Odontología;Usuarios que consideran oportuno el tiempo de espera para la atención de odontología.;32253;94982;33;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.5.2.1;CCF053;COMFACUNDI;Tiempos de espera;Imágenes diagnosticas;Radiología simple;Tiempo de espera para servicios de imagenología y diagnostico general radiología simple.;427231;148658;2;Días;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
4.3.4.1;EPST01;SAVIA SALUD EPS;Tiempos de espera;Consultas;Medicina especializada;Usuarios que consideran oportuno el tiempo de espera para la atención de medicina especializada.;47650;121476;39;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.3.10.1;EPS033;SALUDVIDA EPS;Tiempos de espera;Consultas;Promoción y prevención de la enfermedad (p y p);Usuarios que consideran oportuno el tiempo de espera para atención de programas de promoción y prevención.;8951;19116;46;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
3.2.1.1;CCF024;COMFAMILIAR HUILA;Satisfacción con los servicios;Consultas;Medicina especializada;Usuarios que califican como bueno el servicio de medicina especializada suministrado por su EPS.;90057;127409;70;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
3.5.1.1;EPSI06;PIJAOS SALUD EPSI;Satisfacción con los servicios;Medicamentos;Entrega de medicamentos;Usuarios que califican como bueno el servicio de entrega de medicamentos de su EPS.;84148;130630;64;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.7.1.1;CCF101;COLSUBSIDIO;Tiempos de espera;Medicamentos;Entrega de medicamentos;Órdenes de medicamentos POS que se entregaron de forma completa en la primera solicitud.;307528;307913;99;%;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
4.8.1.1;EPSI04;ANAS WAYUU EPSI;Tiempos de espera;Terapias;Atención de terapias;Usuarios que consideran oportuno el tiempo de espera para la atención de terapias.;3;17;17;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.2.1.2;ESS076;AMBUQ EPSS;Tiempos de espera;Cirugías;Cirugía programada;Usuarios que consideran oportuno el tiempo de espera para la atención de cirugía.;7829;10557;74;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
3.2.1.1;EPS016;COOMEVA  EPS;Satisfacción con los servicios;Consultas;Medicina especializada;Usuarios que califican como bueno el servicio de medicina especializada suministrado por su EPS.;113902;152063;74;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.3.1.1;EPS001;ALIANSALUD EPS;Tiempos de espera;Consultas;Atención prioritaria;Usuarios que consideran oportuno el tiempo de espera para la atención de citas prioritarias.;10598;19731;53;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.3.9.1;EPS012;COMFENALCO VALLE;Tiempos de espera;Consultas;Pediatría;Espera para la asignación de citas de consulta de pediatría.;623869;97552;6;Días;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
4.5.3.1;CCF009;COMFABOY;Tiempos de espera;Imágenes diagnosticas;Tomografías;Tiempo de espera para servicios de imagenología y diagnostico especializado tac.;167028;109052;1;Días;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
4.5.3.1;EPST01;SAVIA SALUD EPS;Tiempos de espera;Imágenes diagnosticas;Tomografías;Tiempo de espera para servicios de imagenología y diagnostico especializado tac.;957762;193657;4;Días;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
4.8.1.1;EPSI02;MANEXKA;Tiempos de espera;Terapias;Atención de terapias;Usuarios que consideran oportuno el tiempo de espera para la atención de terapias.;355;355;100;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
3.4.1.1;EPSI02;MANEXKA;Satisfacción con los servicios;Imágenes diagnosticas;Imágenes diagnosticas;Usuarios que califican como bueno el servicio de imágenes diagnosticas.;3608;3715;97;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
5.1.1.1;EPS025;CAPRESOCA;Trato de personal administrativo;Mostrar resultado;Mostrar resultado;Usuarios que calificaron positivamente el trato por el personal administrativo de su EPS.;42634;55863;76;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.3.9.1;CCF018;CAFAM;Tiempos de espera;Consultas;Pediatría;Espera para la asignación de citas de consulta de pediatría.;101414;18775;5;Días;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
4.6.1.1;ESS076;AMBUQ EPSS;Tiempos de espera;Laboratorios;Laboratorios;Usuarios que consideran oportuno el tiempo de espera para la atención de exámenes de laboratorio.;49273;64668;76;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.3.9.1;EPS037;NUEVA EPS;Tiempos de espera;Consultas;Pediatría;Espera para la asignación de citas de consulta de pediatría.;864208;191343;4;Días;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
3.3.3.1;EPS018;SOS EPS;Satisfacción con los servicios;Experiencia global;Recomendación a familiares;Usuarios que recomendarían a sus familiares y amigos afiliarse a su EPS.;416843;556635;74;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.2.1.2;EPSI03;AIC EPSI;Tiempos de espera;Cirugías;Cirugía programada;Usuarios que consideran oportuno el tiempo de espera para la atención de cirugía.;8844;24469;36;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.3.9.1;EPSI05;MALLAMAS EPSI;Tiempos de espera;Consultas;Pediatría;Espera para la asignación de citas de consulta de pediatría.;55449;11550;4;Días;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
6.1.1.1;CCF027;COMFAMILIAR NARIÑO;Tutelas;Mostrar resultado;Mostrar resultado;Tutelas por no prestación de servicios POS o POSS (tasa por 10.000 afiliados).;16;185601;0;Tasa X 10mil afiliados;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
4.5.2.1;EPS008;COMPENSAR EPS;Tiempos de espera;Imágenes diagnosticas;Radiología simple;Tiempo de espera para servicios de imagenología y diagnostico general radiología simple.;2760207;1432279;1;Días;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
4.1.2.1;EPS003;CAFESALUD;Tiempos de espera;Autorizaciones;Traslados;Tiempo en la autorización para referencias (traslado de una IPS a otra).;32091120;38345;836;Minutos;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
6.1.1.1;EPS001;ALIANSALUD EPS;Tutelas;Mostrar resultado;Mostrar resultado;Tutelas por no prestación de servicios POS o POSS (tasa por 10.000 afiliados).;6;200536;0;Tasa X 10mil afiliados;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
4.3.10.1;EPSI04;ANAS WAYUU EPSI;Tiempos de espera;Consultas;Promoción y prevención de la enfermedad (p y p);Usuarios que consideran oportuno el tiempo de espera para atención de programas de promoción y prevención.;48;369;13;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.8.1.1;EPSI06;PIJAOS SALUD EPSI;Tiempos de espera;Terapias;Atención de terapias;Usuarios que consideran oportuno el tiempo de espera para la atención de terapias.;82;1404;5;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.3.10.1;ESS062;ASMET SALUD;Tiempos de espera;Consultas;Promoción y prevención de la enfermedad (p y p);Usuarios que consideran oportuno el tiempo de espera para atención de programas de promoción y prevención.;9987;21673;46;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
3.5.1.1;CCF053;COMFACUNDI;Satisfacción con los servicios;Medicamentos;Entrega de medicamentos;Usuarios que califican como bueno el servicio de entrega de medicamentos de su EPS.;86928;119201;72;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
2.1.1.1;EPS003;CAFESALUD;Quejas;Mostrar resultado;Mostrar resultado;Quejas de los usuarios resueltas por la EPS.;10505;31609;33;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.3.5.1;EPS033;SALUDVIDA EPS;Tiempos de espera;Consultas;Medicina general;Usuarios que consideran oportuno el tiempo de espera para la atención de medicina general.;244908;462999;52;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.4.1.1;ESS076;AMBUQ EPSS;Tiempos de espera;Hospitalización;Atención de hospitalización;Usuarios que consideran oportuno el tiempo de espera para la atención de hospitalización.;6406;10859;58;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.3.5.1;EPS023;CRUZ BLANCA EPS;Tiempos de espera;Consultas;Medicina general;Usuarios que consideran oportuno el tiempo de espera para la atención de medicina general.;92364;304321;30;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
3.1.1.1;ESS002;EMDISALUD;Satisfacción con los servicios;Autorizaciones;Autorización de servicios de salud;Usuarios que califican como fácil el proceso de autorización de servicios de salud en su EPS.;26058;190959;13;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.3.4.1;EPSI04;ANAS WAYUU EPSI;Tiempos de espera;Consultas;Medicina especializada;Usuarios que consideran oportuno el tiempo de espera para la atención de medicina especializada.;703;2746;25;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.3.5.1;EPS018;SOS EPS;Tiempos de espera;Consultas;Medicina general;Usuarios que consideran oportuno el tiempo de espera para la atención de medicina general.;117835;431545;27;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.2.1.1;EPS023;CRUZ BLANCA EPS;Tiempos de espera;Cirugías;Cirugía programada;Tiempo de espera en  la realización de cirugía programada.;486135;33390;14;Días;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
4.8.1.1;CCF023;COMFAMILIARGUAJIRA;Tiempos de espera;Terapias;Atención de terapias;Usuarios que consideran oportuno el tiempo de espera para la atención de terapias.;194;546;35;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.3.8.2;ESS002;EMDISALUD;Tiempos de espera;Consultas;Odontología;Usuarios que consideran oportuno el tiempo de espera para la atención de odontología.;78935;143323;55;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
3.3.3.1;EPSI04;ANAS WAYUU EPSI;Satisfacción con los servicios;Experiencia global;Recomendación a familiares;Usuarios que recomendarían a sus familiares y amigos afiliarse a su EPS.;12203;13609;89;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.2.1.2;EPS025;CAPRESOCA;Tiempos de espera;Cirugías;Cirugía programada;Usuarios que consideran oportuno el tiempo de espera para la atención de cirugía.;2213;5024;44;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.3.10.1;ESS091;ECOOPSOS EPS;Tiempos de espera;Consultas;Promoción y prevención de la enfermedad (p y p);Usuarios que consideran oportuno el tiempo de espera para atención de programas de promoción y prevención.;1696;6361;26;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
3.3.3.1;ESS076;AMBUQ EPSS;Satisfacción con los servicios;Experiencia global;Recomendación a familiares;Usuarios que recomendarían a sus familiares y amigos afiliarse a su EPS.;322445;363239;88;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.3.5.1;EPS008;COMPENSAR EPS;Tiempos de espera;Consultas;Medicina general;Usuarios que consideran oportuno el tiempo de espera para la atención de medicina general.;164656;496705;33;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.5.2.1;EPS003;CAFESALUD;Tiempos de espera;Imágenes diagnosticas;Radiología simple;Tiempo de espera para servicios de imagenología y diagnostico general radiología simple.;1587188;800314;1;Días;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
4.5.1.1;EPS008;COMPENSAR EPS;Tiempos de espera;Imágenes diagnosticas;Imágenes diagnosticas;Usuarios que consideran oportuno el tiempo de espera para la atención de imágenes diagnosticas.;34772;74675;46;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.5.2.1;EPS023;CRUZ BLANCA EPS;Tiempos de espera;Imágenes diagnosticas;Radiología simple;Tiempo de espera para servicios de imagenología y diagnostico general radiología simple.;635756;105165;6;Días;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
